0,1,2,3,4,5,6,7,8
IN01,Commodities,IN0101,Chemicals,IN010101,"Chemicals & 
Petrochemicals",IN010101001,Commodity Chemicals,"Manufacturers of basic and industrial chemicals like 
synthetic fibres, films, organic and inorganic 
chemicals etc."
IN01,Commodities,IN0101,Chemicals,IN010101,"Chemicals & 
Petrochemicals",IN010101002,Specialty Chemicals,"Manufacturers of chemicals used in the 
manufacture of a variety of products, like fine 
chemicals, additives, advanced polymers, 
explosives, adhesives, printing inks, sealants, dyes, 
pigments, coatings etc."
IN01,Commodities,IN0101,Chemicals,IN010101,"Chemicals & 
Petrochemicals",IN010101003,Carbon Black,Manufacturers of carbon black
IN01,Commodities,IN0101,Chemicals,IN010101,"Chemicals & 
Petrochemicals",IN010101004,Dyes And Pigments,"Manufacturer, supplier and distributor of dyes and 
pigments"
IN01,Commodities,IN0101,Chemicals,IN010101,"Chemicals & 
Petrochemicals",IN010101005,Explosives,"Manufacturer, supplier and exporter of commercial 
explosives and explosive accessories"
IN01,Commodities,IN0101,Chemicals,IN010101,"Chemicals & 
Petrochemicals",IN010101006,Petrochemicals,"Manufacturer, supplier and distributor of 
petrochemical products like propylene oxide, 
propylene glycols and polyols etc. Also includes 
manufacturers of nylon, polyester and acrylic fibres, 
plastics (not covered under Plastic Products - 
Consumer under Consumer Discretionary and 
Plastic Products - Industrial under Manufacturing) 
etc."
IN01,Commodities,IN0101,Chemicals,IN010101,"Chemicals & 
Petrochemicals",IN010101007,Printing Inks,"Manufacturers and distributor of printing inks and 
allied material"
IN01,Commodities,IN0101,Chemicals,IN010101,"Chemicals & 
Petrochemicals",IN010101008,Trading - Chemicals,Trading companies and distributors of chemicals
IN01,Commodities,IN0101,Chemicals,IN010101,"Chemicals & 
Petrochemicals",IN010101009,Industrial Gases,Producer or supplier of industrial gases
IN01,Commodities,IN0101,Chemicals,IN010102,"Fertilizers & 
Agrochemicals",IN010102001,Fertilizers,Manufacturers of fertilizers
IN01,Commodities,IN0101,Chemicals,IN010102,"Fertilizers & 
Agrochemicals",IN010102002,"Pesticides & 
Agrochemicals",Manufacturers of agrochemicals and pesticides
IN01,Commodities,IN0102,"Construction 
Materials",IN010203,"Cement & Cement 
Products",IN010203001,"Cement & Cement 
Products","Manufacturer, supplier and distributor of cement, 
cement products"
IN01,Commodities,IN0102,"Construction 
Materials",IN010204,"Other Construction 
Materials",IN010204001,"Other Construction 
Materials","Other construction material such as supplier of sand 
etc. It excludes companies dealing with granites, 
marbles, etc. which are classified as separate basic 
industry under Consumer Discretionary"
IN01,Commodities,IN0103,Metals & Mining,IN010301,Ferrous Metals,IN010301001,Ferro & Silica Manganese,"Manufacturers and distributor of ferro silico 
manganese like ferro alloys, briquette, fly ash bricks 
etc."
IN01,Commodities,IN0103,Metals & Mining,IN010301,Ferrous Metals,IN010301002,Pig Iron,Manufacturers and distributor of pig iron
IN01,Commodities,IN0103,Metals & Mining,IN010301,Ferrous Metals,IN010301003,Sponge Iron,Manufacturers and distributor of sponge iron
IN01,Commodities,IN0103,Metals & Mining,IN010301,Ferrous Metals,IN010301004,Iron & Steel,Manufacturers of Iron & steel
IN01,Commodities,IN0103,Metals & Mining,IN010302,Non - Ferrous Metals,IN010302001,Aluminium,"Mining, processing, manufacturing and distributing 
the aluminium"
IN01,Commodities,IN0103,Metals & Mining,IN010302,Non - Ferrous Metals,IN010302002,Copper,Producer and distributor of copper
IN01,Commodities,IN0103,Metals & Mining,IN010302,Non - Ferrous Metals,IN010302003,Zinc,Producer and distributor of zinc
IN01,Commodities,IN0103,Metals & Mining,IN010302,Non - Ferrous Metals,IN010302004,Precious Metals,"Mining, manufacturing and distributing precious 
materials like gold, silver, platinum etc.  Includes 
investment trusts where underlying is gold or 
similar precious metals"
IN01,Commodities,IN0103,Metals & Mining,IN010303,Diversified Metals,IN010303001,Diversified Metals,"Companies engaged in manufacturing and mining 
of diversified metals"
IN01,Commodities,IN0103,Metals & Mining,IN010304,Minerals & Mining,IN010304001,Industrial Minerals,"Mining, producing and distributing industrial 
materials (excluding Coal which has been classified 
under 'Energy')"
IN01,Commodities,IN0103,Metals & Mining,IN010305,"Metals & Minerals 
Trading",IN010305001,Trading - Metals,"Trading companies and distributors of metals 
(excluding precious metals)"
IN01,Commodities,IN0103,Metals & Mining,IN010305,"Metals & Minerals 
Trading",IN010305002,Trading - Minerals,"Trading companies and distributors of industrial 
minerals (excluding Coal trading which has been 
classified under 'Energy')"
IN01,Commodities,IN0104,Forest Materials,IN010401,"Paper, Forest & Jute 
Products",IN010401001,Paper & Paper Products,"Manufacturers of paper, paper boards etc."
IN01,Commodities,IN0104,Forest Materials,IN010401,"Paper, Forest & Jute 
Products",IN010401002,Forest Products,"Companies dealing with Timber, Wood, Soil, Pulp, 
Firewood, Cork, Shellac, Cross Laminated Timber 
excluding plywood and laminates which is classified 
as 'Furniture, Home Furnishing, Flooring' under 
Consumer Discretionary"
IN01,Commodities,IN0104,Forest Materials,IN010401,"Paper, Forest & Jute 
Products",IN010401003,Jute & Jute Products,Manufacturers of jute and jute products
IN02,Consumer Discretionary IN0201,,"Automobile and Auto 
Components",IN020101,Automobiles,IN020101001,"Passenger Cars & Utility 
Vehicles","Manufacturer of passenger /utility vehicles 
including car, bus, taxis, auto rickshaws etc."
IN02,Consumer Discretionary IN0201,,"Automobile and Auto 
Components",IN020101,Automobiles,IN020101002,2/3 Wheelers,"Manufacturers of motorcycles, scooters, three-
wheelers (does not include bicycles and tricycles)"
IN02,Consumer Discretionary IN0201,,"Automobile and Auto 
Components",IN020101,Automobiles,IN020101004,Auto-Dealer,"Trading and distribution of passenger cars, utility 
vehicles, 2/3 wheelers"
IN02,Consumer Discretionary IN0201,,"Automobile and Auto 
Components",IN020102,Auto Components,IN020102001,"Auto Components & 
Equipments","Manufacturers and distributors of accessories for 
automobiles, batteries, fastners, gas cylinders for 
automobile etc."
IN02,Consumer Discretionary IN0201,,"Automobile and Auto 
Components",IN020102,Auto Components,IN020102006,Tyres & Rubber Products,"Manufacturers and distributors of tyres and rubber 
products for automobile"
IN02,Consumer Discretionary IN0201,,"Automobile and Auto 
Components",IN020102,Auto Components,IN020102007,"Trading - Auto 
Components",Trading and distribution of auto components
IN02,Consumer Discretionary IN0202,,Consumer Durables,IN020201,Consumer Durables,IN020201002,Cycles,"Manufacturers and distributors of bicycles and 
tricycles"
IN02,Consumer Discretionary IN0202,,Consumer Durables,IN020201,Consumer Durables,IN020201003,Consumer Electronics,"Manufacturers and distributor of consumer 
electronics like television, video cassette recorder, 
DVD player, audio equipments, games etc."
IN02,Consumer Discretionary IN0202,,Consumer Durables,IN020201,Consumer Durables,IN020201018,"Furniture, Home 
Furnishing","Manufacturer/ distributor of furniture, carpets, 
curtains and other home furnishing products"
IN02,Consumer Discretionary IN0202,,Consumer Durables,IN020201,Consumer Durables,IN020201019,Ceramics,Manufacturer/ distributor of floor and wall tiles
IN02,Consumer Discretionary IN0202,,Consumer Durables,IN020201,Consumer Durables,IN020201020,Granites & Marbles,Manufacturer/ distributor of granites and marbles
