Index, Open, High, Low, Current Value, Prev. Close, Ch (pts), Ch (%), 52 Wk High, 52 WK Low, Turnover (Rs. Cr), % in Total Turnover
BSE SENSEX,77083.14,77578.93,77063.95,77502.12,76922.64,579.48,0.75,86159.02,71545.81,2343.50,23.32
BSE FOCUSED MIDCAP,25276.01,25422.76,25205.33,25353.63,25135.01,218.62,0.87,25422.76,20835.25,545.74,5.43
BSE SENSEX 50,25188.64,25334.47,25183.07,25314.00,25126.03,187.97,0.75,27541.52,23185.03,2695.25,26.82
BSE SENSEX Next 50,86929.32,87103.03,86638.41,86965.22,86521.39,443.83,0.51,88146.87,74029.08,829.75,8.26
BSE 100,25643.75,25763.49,25633.41,25747.59,25568.51,179.08,0.70,27621.72,23249.92,3525.00,35.08
BSE SENSEX SIXTY,32606.47,32780.15,32594.64,32754.44,32518.50,235.94,0.73,35434.57,29895.59,2859.23,28.46
BSE Bharat 22 Index,9109.56,9121.71,9063.46,9092.33,9094.11,-1.78,-0.02,9837.10,8145.03,653.15,6.50
BSE 200,11257.98,11303.61,11252.39,11298.51,11222.60,75.91,0.68,11944.41,10077.77,5228.72,52.04
BSE 150 MidCap Index,16781.82,16829.00,16742.75,16820.81,16712.04,108.77,0.65,16873.47,14130.50,2446.59,24.35
BSE 250 SmallCap Index,7075.74,7120.44,7063.68,7113.98,7044.63,69.35,0.98,7225.32,5605.74,2486.30,24.74
BSE 250 LargeMidCap Index,10720.18,10763.84,10713.89,10758.99,10686.45,72.54,0.68,11319.13,9557.65,6039.95,60.11
BSE 400 MidSmallCap Index,12562.85,12611.44,12539.44,12605.29,12509.59,95.70,0.77,12648.56,10400.68,4932.89,49.09
BSE 500,36237.90,36393.09,36216.72,36376.02,36119.01,257.01,0.71,37874.46,31965.51,8526.25,84.85
BSE SmallCap Select Index,8730.16,8765.79,8697.73,8755.53,8696.27,59.26,0.68,8804.69,6803.36,529.55,5.27
BSE MidCap Select Index,18079.48,18190.33,18057.11,18180.65,18010.49,170.16,0.94,18273.11,14644.25,692.20,6.89
BSE 100 LargeCap TMC Index,9062.93,9104.91,9058.59,9099.27,9037.16,62.11,0.69,9738.10,8212.16,3593.36,35.76
BSE SENSEX NEXT 30,41507.22,41580.31,41416.13,41565.36,41305.89,259.47,0.63,42723.73,36415.87,515.72,5.13
BSE 1000,10843.84,10890.45,10837.69,10885.25,10807.80,77.45,0.72,11234.91,9480.66,9472.15,94.27
BSE India 150,18549.33,18630.78,18539.56,18621.65,18493.15,128.50,0.69,19711.88,16644.76,4816.65,47.94
Index,Current Value,Prev. Close,Ch (pts),Ch (%),Date
BSE MidCap,47511.88000000000000,47510.40000000000000,1.48000000000000,0.00,7/1/2026 12:00:00 AM
BSE SmallCap,55977.29000000000000,55793.95000000000000,183.34000000000000,0.33,7/1/2026 12:00:00 AM
BSE SENSEX Next 50 TMC,14661.86000000000000,14658.78000000000000,3.08000000000000,0.02,7/1/2026 12:00:00 AM
BSE LargeMidCap,10553.40000000000000,10504.87000000000000,48.53000000000000,0.46,7/1/2026 12:00:00 AM
BSE AllCap,10610.45000000000000,10564.04000000000000,46.41000000000000,0.44,7/1/2026 12:00:00 AM
BSE LargeCap,9457.61000000000000,9404.30000000000000,53.31000000000000,0.57,7/1/2026 12:00:00 AM
BSE MidSmallCap,13817.44000000000000,13793.43000000000000,24.01000000000000,0.17,7/1/2026 12:00:00 AM
BSE SENSEX 50 TMC,8067.38000000000000,8013.38000000000000,54.00000000000000,0.67,7/1/2026 12:00:00 AM
BSE NEXT 500,16748.90000000000000,16690.22000000000000,58.68000000000000,0.35,7/1/2026 12:00:00 AM
BSE 250 MICROCAP,18738.16000000000000,18691.82000000000000,46.34000000000000,0.25,7/1/2026 12:00:00 AM
BSE Next 250 MICROCAP,5688.19000000000000,5652.59000000000000,35.60000000000000,0.63,7/1/2026 12:00:00 AM
BSE Smallcap 500,9781.39000000000000,9761.00000000000000,20.39000000000000,0.21,7/1/2026 12:00:00 AM

