index_slug,index_label,code,name,ltp,changePct,changeVal,ffmc,yearHigh,yearLow,hasPage
"nifty-50","NIFTY 50","HDFCBANK","HDFC BANK LIMITED","796","-0.24","-1.95","12155643604435","1020.5","726.65","true"
"nifty-50","NIFTY 50","ICICIBANK","ICICI BANK LIMITED","1377.6","0.17","2.4","9841242612304.74","1500","1187.6","true"
"nifty-50","NIFTY 50","RELIANCE","RELIANCE INDUSTRIES LIMITED","1306.5","0.97","12.6","8801552588810.98","1611.8","1253.2","true"
"nifty-50","NIFTY 50","BHARTIARTL","BHARTI AIRTEL LIMITED","1870","0.97","18","5670507674381.7","2174.5","1740.5","true"
"nifty-50","NIFTY 50","LT","LARSEN & TOUBRO LIMITED","4092","-1.24","-51.4","4776037164394.01","4440","3288.1","true"
"nifty-50","NIFTY 50","SBIN","STATE BANK OF INDIA","1043.5","1.62","16.6","4301188176592.78","1234.7","786.55","true"
"nifty-50","NIFTY 50","AXISBANK","AXIS BANK LIMITED","1363.9","1.35","18.2","3906357391414.63","1418.3","1042.5","true"
"nifty-50","NIFTY 50","INFY","INFOSYS LIMITED","986","-1.44","-14.4","3448998154275.85","1728","982.4","true"
"nifty-50","NIFTY 50","KOTAKBANK","KOTAK MAHINDRA BANK LIMITED","399","1.72","6.75","2929428504972.28","453.2","345.5","true"
"nifty-50","NIFTY 50","M&M","MAHINDRA & MAHINDRA LIMITED","3132","2.06","63.2","2788363484067.16","3839.9","2896","true"
"nifty-50","NIFTY 50","ITC","ITC LIMITED","290.05","1.08","3.1","2788166031780.68","427","275.05","true"
"nifty-50","NIFTY 50","BAJFINANCE","BAJAJ FINANCE LIMITED","1014","0.92","9.2","2710145655853.13","1102.5","787.9","true"
"nifty-50","NIFTY 50","ETERNAL","ETERNAL LIMITED","280","5.82","15.4","2018605148333.76","368.45","212.6","true"
"nifty-50","NIFTY 50","TCS","TATA CONSULTANCY SERVICES LIMITED","1981.8","-2.45","-49.7","2017715351617.03","3489.9","1976.8","true"
"nifty-50","NIFTY 50","SUNPHARMA","SUN PHARMACEUTICAL INDUSTRIES LIMITED","1867.4","0.26","4.9","1971817779187.02","1916.6","1548","true"
"nifty-50","NIFTY 50","HINDUNILVR","HINDUSTAN UNILEVER LIMITED","2181.5","2.99","63.3","1929980348943.79","2750","2022.5","true"
"nifty-50","NIFTY 50","MARUTI","MARUTI SUZUKI INDIA LIMITED","14340","1.59","225","1865495662650.67","17370","12201","true"
"nifty-50","NIFTY 50","TITAN","TITAN COMPANY LIMITED","4395","-0.2","-9","1809469105321.5","4605","3303.1","true"
"nifty-50","NIFTY 50","NTPC","NTPC LIMITED","357.4","0.21","0.75","1689637264850.54","414.4","315.55","true"
"nifty-50","NIFTY 50","TATASTEEL","TATA STEEL LIMITED","185","-1.63","-3.06","1524947669504.78","224.4","152.51","true"
"nifty-50","NIFTY 50","BEL","BHARAT ELECTRONICS LIMITED","416.3","1.09","4.5","1486891300729.86","473.45","361.2","true"
"nifty-50","NIFTY 50","SHRIRAMFIN","SHRIRAM FINANCE LIMITED","1045","0.27","2.8","1459462807398.06","1108","566.5","true"
"nifty-50","NIFTY 50","ADANIPORTS","ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED","1848.2","2.1","38","1359674305126.95","1881.7","1290.5","true"
"nifty-50","NIFTY 50","HINDALCO","HINDALCO INDUSTRIES LIMITED","939.4","-1.8","-17.2","1356352485875.02","1176","657.5","true"
"nifty-50","NIFTY 50","ULTRACEMCO","ULTRATECH CEMENT LIMITED","11460","1.84","207","1352345865465.35","13110","10325","true"
"nifty-50","NIFTY 50","POWERGRID","POWER GRID CORPORATION OF INDIA LIMITED","287.1","0.28","0.8","1296511899310.25","324.95","250","true"
"nifty-50","NIFTY 50","ASIANPAINT","ASIAN PAINTS LIMITED","2715","3.01","79.3","1224361952119.48","2985.7","2115","true"
"nifty-50","NIFTY 50","INDIGO","INTERGLOBE AVIATION LIMITED","5383.5","0.28","15","1215173063789.24","6232.5","3895.2","true"
