slug,label,kind,value,changePct,changeVal,open,dayHigh,dayLow,yearHigh,yearLow,advances,declines,unchanged,constituentCount
"nifty-50","NIFTY 50","broad","24005.85","0.59","140.1","23897.65","24049.9","23895.1","26373.2","22182.55","33","17","0","50"
"nifty-100","NIFTY 100","broad","25065.1","0.6","149.5","24953.2","25105.95","24940.3","26975.15","22720.45","65","35","0","100"
"nifty-500","NIFTY 500","broad","23111.65","0.5","116","23038.65","23144.1","23032.95","24144.2","20385.65","283","216","1","500"
"midcap-100","NIFTY Midcap 100","broad","62008.8","0.34","211.1","61935.35","62138.5","61838.4","62909.55","52032.85","54","46","0","100"
"bank","NIFTY Bank","sector","58033.05","0.85","490.15","57573.35","58134.15","57487.85","61764.85","49954.85","11","3","0","14"
"it","NIFTY IT","sector","25769.8","-2.01","-529.25","26381","26505.75","25699.1","40301.4","25699.1","2","8","0","10"
"auto","NIFTY Auto","sector","26783.2","1.15","303.4","26585.15","26965.45","26585.15","29179.1","23378.9","11","4","0","15"
"fmcg","NIFTY FMCG","sector","49806.8","2.08","1012.6","48981.9","49880.5","48881.6","58485.05","45334.15","15","0","0","15"
"pharma","NIFTY Pharma","sector","25182.7","-0.57","-143.7","25416.9","25591.3","25133.25","25591.3","21149.9","5","15","0","20"
"metal","NIFTY Metal","sector","12394.75","-0.99","-124.4","12515.3","12522.9","12375.05","13931.35","9086.35","1","14","0","15"
"energy","NIFTY Energy","sector","39764.85","0.06","24.35","39827.35","39936.7","39674.55","41828.55","32890.3","18","22","0","40"
"realty","NIFTY Realty","sector","859.25","3.58","29.7","834.6","860.65","832.15","1009.3","638.65","8","2","0","10"
"psu-bank","NIFTY PSU Bank","sector","8576.6","0.99","83.95","8525.2","8596.45","8476.7","9918.65","6730.3","9","3","0","12"
"media","NIFTY Media","sector","1509.05","2.07","30.65","1486.85","1533.75","1486.65","1786.15","1245.05","7","3","0","10"
