Date,Open,High,Low,Close,Volume
2024-05-22,1425.72,1457.98,1425.72,1449.92,10281604
2024-05-23,1447.83,1481.26,1444.31,1475.13,14608260
2024-05-24,1472.72,1477.56,1465.25,1469.37,7094776
2024-05-27,1469.35,1473.99,1450.81,1455.48,6629010
2024-05-28,1457.21,1467.64,1442.08,1445.5,7820162
2024-05-29,1435.87,1447.29,1427.88,1430.19,7383556
2024-05-30,1424.95,1429.82,1409.67,1414.38,13206858
2024-05-31,1420.78,1431.65,1411.8,1419.89,31069832
2024-06-03,1472.1,1503.37,1448.28,1499.23,21527942
2024-06-04,1487.04,1487.04,1349.31,1387.01,36709098
2024-06-05,1411.55,1420.64,1373.93,1410.31,17464890
2024-06-06,1424.46,1433.09,1410.91,1421.08,17855722
2024-06-07,1418.0,1461.19,1416.02,1459.15,18558696
2024-06-10,1459.15,1482.38,1457.29,1460.59,9251760
2024-06-11,1458.21,1462.85,1443.99,1445.97,11774902
2024-06-12,1446.79,1465.16,1444.48,1452.57,10081742
2024-06-13,1461.19,1461.43,1449.37,1454.48,9181160
2024-06-14,1459.2,1468.8,1446.52,1466.69,8157998
2024-06-18,1476.42,1476.47,1460.54,1470.14,7196766
2024-06-19,1476.57,1476.57,1445.3,1447.93,8725874
2024-06-20,1448.28,1471.96,1439.45,1462.87,16113776
2024-06-21,1462.8,1463.87,1429.99,1443.52,31170360
2024-06-24,1434.9,1438.85,1426.94,1430.88,8878386
2024-06-25,1432.4,1445.23,1430.41,1443.47,7045386
2024-06-26,1435.43,1507.81,1434.51,1502.9,22014882
2024-06-27,1502.63,1526.2,1494.94,1519.3,28383030
2024-06-28,1519.78,1569.38,1519.78,1553.9,28957336
2024-07-01,1551.05,1567.8,1544.25,1548.69,7724306
2024-07-02,1557.97,1561.94,1545.56,1553.68,7749246
2024-07-03,1554.82,1563.43,1531.44,1541.02,9049620
2024-07-04,1545.56,1555.98,1539.41,1542.61,6837176
2024-07-05,1542.41,1586.76,1536.63,1576.95,12269710
2024-07-08,1577.33,1596.98,1570.9,1589.14,9500806
2024-07-09,1585.86,1588.74,1568.89,1578.59,6960002
2024-07-10,1583.28,1585.76,1551.67,1572.59,7134578
2024-07-11,1575.84,1592.46,1558.96,1569.04,11940946
2024-07-12,1572.86,1593.36,1562.93,1584.99,12924784
2024-07-15,1592.66,1594.05,1573.85,1585.49,5329688
2024-07-16,1581.79,1588.24,1557.6,1564.67,9386838
2024-07-18,1564.42,1582.19,1546.38,1575.02,12298374
2024-07-19,1574.35,1578.29,1541.39,1543.72,13140390
2024-07-22,1525.96,1526.2,1488.26,1489.65,19674376
2024-07-23,1489.97,1494.69,1452.25,1476.97,18052044
2024-07-24,1474.09,1498.41,1465.55,1484.71,11913362
2024-07-25,1470.12,1489.45,1466.22,1481.44,12519876
2024-07-26,1481.44,1501.31,1479.4,1497.94,9859940
2024-07-29,1500.84,1516.28,1500.67,1508.93,7538550
2024-07-30,1505.88,1513.8,1498.91,1502.03,8228208
2024-07-31,1492.95,1499.35,1490.12,1494.36,10057346
2024-08-01,1500.89,1506.85,1493.25,1504.17,10764222
2024-08-02,1493.94,1498.24,1482.3,1488.31,10268248
2024-08-05,1469.13,1473.0,1422.72,1436.69,17046704
2024-08-06,1444.46,1466.64,1440.66,1445.35,10236186
2024-08-07,1458.21,1461.68,1450.76,1454.06,8174568
2024-08-08,1446.82,1454.24,1435.3,1438.48,12387192
2024-08-09,1449.27,1465.65,1445.3,1463.47,6249776
2024-08-12,1459.2,1462.18,1447.04,1449.89,8184584
2024-08-13,1450.02,1459.27,1447.29,1452.87,6265064
2024-08-14,1452.8,1461.19,1443.02,1451.11,6267466
2024-08-16,1457.86,1469.52,1447.34,1467.34,9416902
2024-08-19,1476.6,1492.34,1474.61,1482.48,13797742
2024-08-20,1491.27,1497.94,1484.1,1490.0,8411808
2024-08-21,1487.31,1501.88,1484.07,1492.71,7769996
2024-08-22,1497.02,1500.51,1484.72,1492.17,10445782
2024-08-23,1497.77,1505.31,1492.46,1494.01,9249654
2024-08-26,1500.98,1516.94,1497.02,1506.58,8816114
2024-08-27,1504.49,1507.45,1493.49,1494.48,6251156
2024-08-28,1499.01,1501.48,1487.06,1492.34,9610286
2024-08-29,1497.12,1530.89,1488.06,1514.87,38335358
2024-08-30,1527.9,1533.6,1497.34,1503.62,41620730
2024-09-02,1504.86,1520.73,1500.63,1510.22,11240852
2024-09-03,1515.2,1516.94,1501.5,1503.12,10923800
2024-09-04,1494.73,1511.46,1493.53,1508.53,11983304
2024-09-05,1513.01,1519.71,1481.13,1487.04,16264168
2024-09-06,1486.56,1491.04,1455.81,1459.0,19394228
2024-09-09,1460.67,1464.08,1449.81,1456.63,9010298
2024-09-10,1454.69,1466.19,1451.78,1455.71,10768260
2024-09-11,1457.23,1462.91,1441.79,1445.73,9760202
2024-09-12,1451.2,1480.09,1440.12,1473.91,22349376
2024-09-13,1470.53,1477.25,1463.65,1466.77,8711328
2024-09-16,1471.67,1475.01,1458.92,1465.5,5481774
2024-09-17,1468.14,1471.6,1460.79,1466.44,5935328
2024-09-18,1464.15,1476.1,1454.74,1457.63,8574714
2024-09-19,1460.42,1470.63,1449.76,1463.83,16955902
2024-09-20,1468.14,1489.05,1465.52,1480.01,30897320
2024-09-23,1485.07,1495.53,1483.03,1487.43,8832314
2024-09-24,1482.58,1494.53,1481.96,1483.45,17137444
2024-09-25,1478.0,1490.55,1474.31,1488.01,7069002
2024-09-26,1484.72,1498.02,1482.13,1491.99,18818998
2024-09-27,1493.04,1527.37,1486.06,1520.1,20597478
2024-09-30,1513.36,1518.91,1468.53,1470.7,27008814
2024-10-01,1474.76,1482.03,1457.01,1459.0,16431642
2024-10-03,1430.86,1443.63,1396.5,1401.38,37757294
2024-10-04,1398.34,1411.71,1376.28,1381.01,37072876
2024-10-07,1387.96,1390.94,1355.96,1365.27,22181340
2024-10-08,1367.51,1395.43,1359.67,1391.79,17020808
2024-10-09,1391.97,1395.4,1367.04,1369.13,14310610
2024-10-10,1374.54,1380.49,1363.98,1365.6,22358646
2024-10-11,1364.55,1377.77,1363.38,1366.64,7980122
2024-10-14,1373.96,1374.58,1362.81,1367.07,12221432
2024-10-15,1353.12,1366.24,1335.37,1338.68,33762794
2024-10-16,1334.67,1358.57,1332.3,1348.69,20034438
2024-10-17,1360.27,1363.01,1346.67,1351.03,15543660
2024-10-18,1346.8,1362.98,1335.99,1353.89,12082452
2024-10-21,1361.69,1368.53,1352.32,1363.75,14067408
2024-10-22,1363.75,1370.53,1334.89,1338.01,15831960
2024-10-23,1332.18,1352.07,1329.69,1333.2,17214742
2024-10-24,1329.96,1338.35,1317.86,1334.47,22155934
2024-10-25,1338.16,1339.0,1316.74,1322.57,18597496
2024-10-28,1331.68,1347.62,1316.84,1329.04,10824350
2024-10-29,1322.82,1337.86,1315.05,1334.67,12008361
2024-10-30,1329.69,1344.63,1320.08,1338.55,11984423
2024-10-31,1334.67,1337.66,1320.87,1326.75,9331650
2024-11-01,1327.75,1336.61,1327.7,1333.32,2127335
2024-11-04,1332.53,1334.67,1279.99,1296.97,19796890
2024-11-05,1287.86,1304.34,1281.03,1300.11,16267479
2024-11-06,1304.79,1323.02,1295.03,1320.08,21625209
2024-11-07,1318.73,1318.73,1297.42,1300.46,9611974
2024-11-08,1292.49,1296.47,1269.93,1278.64,19814406
2024-11-11,1273.86,1280.88,1261.96,1267.64,9056552
2024-11-12,1270.48,1284.17,1262.46,1269.18,10671091
2024-11-13,1265.2,1270.38,1244.53,1247.07,14633633
2024-11-14,1248.61,1267.54,1246.12,1262.56,12612633
2024-11-18,1262.56,1267.84,1238.95,1255.73,13620611
2024-11-19,1255.73,1276.4,1230.24,1236.71,14183746
2024-11-21,1236.71,1239.0,1212.41,1218.13,19433843
2024-11-22,1224.51,1263.8,1217.59,1260.37,20471957
2024-11-25,1284.87,1299.26,1277.35,1281.88,28923341
2024-11-26,1289.8,1292.69,1279.09,1290.55,9247557
2024-11-27,1288.35,1298.66,1280.88,1288.06,9572746
2024-11-28,1284.82,1291.44,1264.0,1265.74,15027412
2024-11-29,1274.91,1294.33,1270.18,1287.06,13202307
2024-12-02,1282.88,1306.13,1271.97,1303.94,11024152
2024-12-03,1311.76,1321.52,1301.8,1318.04,16869482
2024-12-04,1320.73,1323.12,1298.86,1303.74,19608540
2024-12-05,1309.12,1324.66,1300.95,1316.79,16858723
2024-12-06,1318.63,1318.63,1304.79,1306.33,9037514
2024-12-09,1297.82,1309.77,1287.96,1290.0,14650002
2024-12-10,1284.12,1289.75,1275.11,1279.74,16043729
2024-12-11,1279.89,1284.87,1270.97,1273.12,11724373
2024-12-12,1264.95,1273.12,1255.59,1257.88,20906813
2024-12-13,1254.99,1270.13,1234.67,1267.79,28630222
2024-12-16,1269.93,1275.9,1261.51,1263.25,9486781
2024-12-17,1256.03,1258.87,1237.86,1240.35,17462791
2024-12-18,1235.71,1254.94,1235.71,1248.26,12670179
2024-12-19,1234.07,1239.95,1224.11,1225.56,14244653
2024-12-20,1219.13,1234.57,1196.72,1200.51,20312896
2024-12-23,1210.17,1222.32,1208.37,1217.44,10052824
2024-12-24,1217.44,1228.64,1216.14,1217.89,6734917
2024-12-26,1219.38,1222.82,1209.42,1211.71,10016178
2024-12-27,1213.45,1223.02,1212.16,1216.19,7000397
2024-12-30,1211.56,1218.33,1203.29,1205.88,8818766
2024-12-31,1203.19,1214.25,1201.35,1210.61,6405475
2025-01-01,1210.02,1221.42,1206.78,1216.39,5892590
2025-01-02,1216.39,1239.5,1215.15,1236.86,15486276
2025-01-03,1238.95,1257.03,1230.59,1246.17,15521102
2025-01-06,1248.96,1256.98,1210.17,1213.15,14816766
2025-01-07,1217.14,1239.55,1216.39,1235.91,10070505
2025-01-08,1244.03,1265.99,1240.4,1260.47,19346579
2025-01-09,1261.96,1264.7,1243.09,1249.76,12794704
2025-01-10,1248.86,1251.75,1231.08,1236.96,8120332
2025-01-13,1225.11,1240.3,1221.52,1234.92,13764861
2025-01-14,1239.15,1248.36,1222.37,1233.82,13095266
2025-01-15,1240.0,1252.0,1236.91,1247.22,9578856
2025-01-16,1253.89,1269.93,1246.32,1261.41,14117603
2025-01-17,1316.99,1320.73,1279.89,1297.17,29366277
2025-01-20,1310.76,1310.76,1295.08,1300.26,14040244
2025-01-21,1305.29,1307.78,1265.15,1268.63,14562976
2025-01-22,1273.21,1277.8,1263.65,1272.02,10273590
2025-01-23,1264.95,1272.27,1256.58,1258.62,8720682
2025-01-24,1260.96,1267.94,1238.55,1241.34,14235970
2025-01-27,1234.17,1235.52,1215.15,1224.46,9536019
2025-01-28,1233.08,1239.8,1213.65,1229.49,10568025
2025-01-29,1231.08,1237.81,1223.16,1230.59,5928156
2025-01-30,1230.64,1252.0,1227.5,1248.07,9269259
2025-01-31,1250.85,1261.96,1244.03,1260.07,6584612
2025-02-01,1260.07,1265.5,1236.06,1259.57,7118453
2025-02-03,1246.02,1251.0,1232.63,1240.94,9252345
2025-02-04,1243.09,1283.67,1241.64,1280.09,16691069
2025-02-05,1277.55,1285.37,1271.62,1273.12,10112028
2025-02-06,1268.63,1282.88,1265.3,1276.45,9956001
2025-02-07,1271.07,1278.59,1256.98,1261.66,8764283
2025-02-10,1259.47,1261.46,1240.6,1248.66,6970972
2025-02-11,1259.52,1259.52,1225.21,1229.94,8859714
2025-02-12,1214.6,1222.02,1188.6,1211.71,21131654
2025-02-13,1212.21,1223.12,1207.18,1211.26,8511216
2025-02-14,1214.15,1219.13,1200.65,1212.41,10298145
2025-02-17,1206.28,1222.62,1199.71,1220.03,8166683
2025-02-18,1219.98,1225.01,1211.26,1220.53,6673250
2025-02-19,1214.65,1227.85,1212.71,1222.57,6217338
2025-02-20,1219.08,1234.42,1217.14,1228.1,7795582
2025-02-21,1223.81,1235.07,1217.29,1223.26,6904025
2025-02-24,1211.71,1218.38,1205.68,1209.72,7172498
2025-02-25,1206.18,1216.14,1196.72,1199.21,11552182
2025-02-27,1207.98,1210.17,1195.87,1202.3,11509215
2025-02-28,1197.22,1212.51,1188.55,1195.33,23007298
2025-03-03,1199.21,1201.65,1151.4,1166.59,17944938
2025-03-04,1157.58,1169.33,1154.94,1157.28,11377373
2025-03-05,1156.38,1178.29,1152.4,1170.92,8664095
2025-03-06,1192.24,1209.12,1180.44,1204.79,14468014
2025-03-07,1211.16,1249.81,1207.18,1244.83,16474965
2025-03-10,1240.05,1253.0,1230.49,1233.47,11931051
2025-03-11,1235.07,1244.53,1224.86,1242.34,10089838
2025-03-12,1253.0,1257.98,1239.05,1252.05,11977555
2025-03-13,1255.04,1259.12,1238.9,1242.94,9505270
2025-03-17,1237.21,1252.4,1228.19,1233.92,16640917
2025-03-18,1233.92,1233.92,1233.92,1233.92,0
2025-03-19,1236.11,1248.26,1233.87,1242.19,16162399
2025-03-20,1246.87,1267.94,1245.08,1264.1,15971477
2025-03-21,1269.93,1275.9,1265.05,1271.27,21780769
2025-03-24,1285.86,1300.8,1279.14,1296.92,20299319
2025-03-25,1302.5,1302.5,1277.5,1280.34,13713899
2025-03-26,1285.86,1288.65,1263.7,1267.99,12074747
2025-03-27,1273.07,1279.89,1266.24,1273.12,15028056
2025-03-28,1274.91,1290.6,1263.95,1270.03,18147129
2025-04-01,1259.57,1272.82,1244.33,1247.62,12099648
2025-04-02,1242.59,1250.56,1238.95,1246.17,10142590
2025-04-03,1228.15,1246.82,1228.15,1243.73,7434366
2025-04-04,1236.16,1240.5,1188.4,1199.91,17908652
2025-04-07,1127.7,1166.59,1110.42,1161.06,22156106
2025-04-08,1167.34,1191.84,1158.67,1177.5,19555040
2025-04-09,1164.85,1185.07,1163.35,1180.63,10223104
2025-04-11,1190.4,1217.79,1190.4,1214.1,11224242
2025-04-15,1246.02,1246.02,1232.18,1235.17,13378535
2025-04-16,1229.19,1235.96,1224.11,1234.37,8248464
2025-04-17,1235.27,1275.11,1222.72,1269.43,15398401
2025-04-21,1264.95,1295.72,1261.96,1290.35,10429964
2025-04-22,1294.83,1298.71,1281.18,1286.06,13051707
2025-04-23,1291.84,1300.8,1280.29,1294.83,10480888
2025-04-24,1287.26,1299.31,1285.17,1296.42,10468940
2025-04-25,1298.31,1319.93,1282.98,1295.23,14431012
2025-04-28,1334.67,1369.13,1314.95,1363.35,31104496
2025-04-29,1365.55,1405.29,1364.55,1394.13,32538970
2025-04-30,1396.42,1406.78,1363.55,1399.41,25480745
2025-05-02,1408.38,1421.02,1403.49,1414.15,13007841
2025-05-05,1425.31,1433.77,1421.22,1425.61,12685649
2025-05-06,1425.31,1426.3,1404.99,1415.25,14084117
2025-05-07,1415.25,1418.73,1397.12,1400.41,13440169
2025-05-08,1398.51,1415.15,1392.44,1401.4,16106175
2025-05-09,1379.99,1389.25,1369.03,1371.72,13668904
2025-05-12,1394.43,1433.28,1394.43,1430.79,10674081
2025-05-13,1427.8,1441.94,1406.78,1410.07,11407896
2025-05-14,1414.35,1424.21,1409.87,1418.73,5570160
2025-05-15,1419.33,1455.59,1407.08,1448.42,20177211
2025-05-16,1447.42,1455.19,1441.54,1450.61,9036695
2025-05-19,1446.32,1448.81,1432.48,1435.07,6195791
2025-05-20,1432.48,1439.25,1416.14,1418.93,11270560
2025-05-21,1418.24,1430.49,1412.46,1423.51,6136364
2025-05-22,1415.55,1418.14,1391.34,1403.79,12134466
2025-05-23,1401.0,1428.1,1401.0,1421.12,6474883
2025-05-26,1426.3,1435.27,1419.43,1429.09,4842944
2025-05-27,1420.43,1431.28,1408.28,1416.44,12640414
2025-05-28,1414.45,1416.94,1405.09,1407.28,5944611
2025-05-29,1406.48,1414.35,1403.0,1412.16,13771917
2025-05-30,1412.36,1424.91,1404.09,1415.25,13788484
2025-06-02,1406.48,1411.86,1390.05,1408.08,8098668
2025-06-03,1416.64,1420.83,1397.82,1399.91,11252626
2025-06-04,1409.07,1420.03,1400.51,1417.84,8126827
2025-06-05,1422.32,1448.91,1417.94,1436.66,13716817
2025-06-06,1435.27,1445.73,1431.28,1437.76,8182161
2025-06-09,1451.2,1451.7,1439.55,1443.04,7885125
2025-06-10,1444.23,1448.12,1430.29,1432.78,7913181
2025-06-11,1440.05,1462.76,1437.36,1443.14,8195700
2025-06-12,1447.72,1451.2,1428.69,1435.87,8828114
2025-06-13,1418.34,1429.79,1408.67,1422.22,9757276
2025-06-16,1421.22,1436.66,1418.73,1432.08,8458093
2025-06-17,1442.24,1442.24,1420.13,1425.51,10366599
2025-06-18,1424.31,1437.06,1420.03,1424.41,6681735
2025-06-19,1424.41,1434.17,1420.03,1427.6,10007230
2025-06-20,1425.31,1465.15,1422.42,1460.37,29010635
2025-06-23,1447.22,1457.98,1436.26,1451.0,5989078
2025-06-24,1459.17,1469.13,1437.36,1445.03,16402744
2025-06-25,1458.18,1466.54,1454.69,1461.46,7525851
2025-06-26,1463.26,1492.84,1459.27,1489.35,14657893
2025-06-27,1493.44,1515.95,1490.95,1509.37,11117052
2025-06-30,1507.78,1518.73,1490.05,1494.63,8409527
2025-07-01,1494.63,1525.31,1494.13,1522.32,10368523
2025-07-02,1522.32,1523.91,1502.7,1512.76,6361002
2025-07-03,1514.75,1525.81,1506.98,1511.76,11283291
2025-07-04,1517.94,1523.91,1511.16,1521.22,6603501
2025-07-07,1520.53,1538.65,1518.93,1535.37,7251074
2025-07-08,1529.89,1538.75,1524.11,1531.48,7171261
2025-07-09,1530.59,1544.83,1504.09,1512.96,8870660
